other_screen_id,other_screen_title,other_screen_text_1,other_screen_text_2,comment,other_screen_img_path,other_screen_img_file
1,welcome_screen,Welcome to the MultiplEYE experiment,,,stimuli_en/other_screens/welcome_screen_en.png,welcome_screen_en.png
2,empty_screen,,,,stimuli_en/other_screens/empty_screen_en.png,empty_screen_en.png
3,fixation_screen,,,,stimuli_en/other_screens/fixation_screen_en.png,fixation_screen_en.png
4,break_screen,"If you are ready to continue with the next text,
please press space.",,,stimuli_en/other_screens/instrucion_screen_en.png,instrucion_screen_en.png
5,final_screen,Thank you very much for participating in this experiment!,Good Bye!,,stimuli_en/other_screens/final_screen_en.png,final_screen_en.png
6,instruction_screen,"In this experiment you will be presented with a series of texts.",,,stimuli_en/other_screens/instrucion_screen_en.png,instrucion_screen_en.png
